State,Year,Award
AK,2005,0.151262794
AK,2006,0.14134362099999997
AK,2007,0.129997901
AK,2008,0.18023727599999995
AK,2009,0.14661490999999993
AK,2010,0.1785563289999999
AK,2011,0.26952057799999996
AK,2012,0.185314825
AK,2013,0.17118973299999996
AK,2014,0.162812573
AK,2015,0.11928702499999992
AK,2016,0.12967469399999995
AK,2017,0.09056051999999996
AK,2018,0.078058069
AK,2019,0.117725353
AL,2005,9.779742462000002
AL,2006,6.354788119999995
AL,2007,13.837921428999993
AL,2008,14.606541165999989
AL,2009,14.228889624999987
AL,2010,14.817174698999992
AL,2011,14.738464964000002
AL,2012,16.339751806
AL,2013,16.293854900000003
AL,2014,13.200416063999999
AL,2015,14.709362581
AL,2016,11.954378689000006
AL,2017,12.687506293999997
AL,2018,12.482958808999992
AL,2019,10.745966901
AR,2005,0.010241845999999999
AR,2006,0.013718624
AR,2007,0.014591173999999998
AR,2008,0.011688032000000001
AR,2009,0.008162695
AR,2010,0.011866362000000002
AR,2011,0.012534742
AR,2012,0.014381733
AR,2013,0.012079534
AR,2014,0.00915396
AR,2015,0.013356854999999999
AR,2016,0.013661044999999998
AR,2017,0.012468196999999997
AR,2018,0.009374169000000002
AR,2019,0.012286371999999999
AZ,2005,1.4048167849999997
AZ,2006,0.7937094730000004
AZ,2007,0.8136459480000003
AZ,2008,0.845249177
AZ,2009,0.8513110469999999
AZ,2010,0.9493902399999987
AZ,2011,0.9746985689999992
AZ,2012,1.0262619949999994
AZ,2013,1.0618390329999992
AZ,2014,1.0531624019999994
AZ,2015,1.5884186549999995
AZ,2016,1.6323388989999992
AZ,2017,1.6743644449999997
AZ,2018,1.4998892949999991
AZ,2019,1.5354389609999994
CA,2005,34.246520236
CA,2006,35.614551963999894
CA,2007,35.356648553000014
CA,2008,40.67444963299987
CA,2009,36.47941923200006
CA,2010,39.75432863600003
CA,2011,39.02379085600004
CA,2012,46.80289003499992
CA,2013,48.77462522500001
CA,2014,37.51214242599995
CA,2015,39.862969002999854
CA,2016,43.318390480999994
CA,2017,39.83818496500004
CA,2018,51.777255476999855
CA,2019,48.44395592099992
CO,2005,3.9212041469999925
CO,2006,17.512292777000017
CO,2007,17.50497135000001
CO,2008,17.79998795600002
CO,2009,20.121554543000023
CO,2010,21.032184577000002
CO,2011,20.899138261000022
CO,2012,21.574273199000018
CO,2013,21.650815711000032
CO,2014,21.648869182000027
CO,2015,21.849094999000013
CO,2016,21.32138498600001
CO,2017,20.872451797000025
CO,2018,19.609804484000037
CO,2019,19.33301295600005
CT,2005,2.5260013729999997
CT,2006,2.532414069999999
CT,2007,2.8891586540000005
CT,2008,2.482461005
CT,2009,2.532475915000001
CT,2010,2.4987805470000013
CT,2011,2.4648157100000008
CT,2012,2.2539525090000003
CT,2013,0.7194964250000004
CT,2014,0.7231846730000002
CT,2015,0.7597552779999994
CT,2016,0.729076799
