State-Year,State Name,State,Year,Award,Population,Has_Facility,Rate,Deaths,Senate,House,Top_Ten,Top_Five,Logged_pop
AK_2017,Alaska,AK,2017,0.09056052,739786,0,5.6,59,1,0,0,0,13.514116234167906
AL_2017,Alabama,AL,2017,12.68750629,4875120,1,7.4,434,0,1,1,1,15.399655277495746
AR_2017,Arkansas,AR,2017,0.012468197,3002997,0,8.2,307,0,0,0,0,14.91512134796397
AZ_2017,Arizona,AZ,2017,1.674364445,7048876,0,5.7,469,0,1,0,0,15.768378729453605
CA_2017,California,CA,2017,39.83818497,39399349,1,4.2,1973,0,4,1,1,17.48925985128902
CO_2017,Colorado,CO,2017,20.8724518,5615902,0,4.5,291,1,1,1,1,15.541112774393078
CT_2017,Connecticut,CT,2017,0.6717688059999999,3573880,0,4.5,160,0,0,0,0,15.089162398312425
DE_2017,Delaware,DE,2017,0.043761932,957078,0,6.6,72,0,0,0,0,13.771640171815958
FL_2017,Florida,FL,2017,12.04285861,20976812,1,6.1,1358,1,4,1,0,16.858928195144074
GA_2017,Georgia,GA,2017,0.12087332099999999,10413055,0,7.2,932,0,0,0,0,16.158570865357298
HI_2017,Hawaii,HI,2017,0.12986852699999998,1424203,0,5.3,92,1,0,0,0,14.169122916973667
IA_2017,Iowa,IA,2017,0.052460552,3143637,0,5.3,203,0,0,0,0,14.960890967850178
ID_2017,Idaho,ID,2017,0.021667419,1718904,0,4.6,102,0,0,0,0,14.357197436383178
IL_2017,Illinois,IL,2017,0.140339489,12786196,0,6.1,912,0,2,0,0,16.363876709457703
IN_2017,Indiana,IN,2017,2.4855878419999997,6660082,0,7.3,600,0,1,1,0,15.711642354753089
KS_2017,Kansas,KS,2017,0.028192732999999998,2910689,0,6.1,221,1,0,0,0,14.88390038088159
KY_2017,Kentucky,KY,2017,0.025891962999999997,4453874,0,6.5,355,0,0,0,0,15.309284837221037
LA_2017,Louisiana,LA,2017,0.587346774,4670818,0,7.1,431,0,2,0,0,15.356844774905825
MA_2017,Massachusetts,MA,2017,1.851780636,6863246,0,3.7,262,1,0,0,0,15.7416910656313
MD_2017,Maryland,MD,2017,25.96289202,6024891,1,6.4,460,0,0,1,1,15.611409945891037
ME_2017,Maine,ME,2017,0.031299163,1335063,0,5.7,70,0,0,0,0,14.104489039714263
MI_2017,Michigan,MI,2017,0.274648827,9976447,0,6.8,755,1,0,0,0,16.115737572876274
MN_2017,Minnesota,MN,2017,0.058436895999999995,5568155,0,4.8,328,0,0,0,0,15.53257431825261
MO_2017,Missouri,MO,2017,0.167060866,6108612,0,6.2,456,0,0,0,0,15.625210136764984
MS_2017,Mississippi,MS,2017,3.8306535389999996,2989663,1,8.6,322,0,0,1,0,14.91067122998463
MT_2017,Montana,MT,2017,0.042931147,1053090,0,5.4,64,0,0,0,0,13.867239257549222
NC_2017,North Carolina,NC,2017,0.071140782,10270800,0,7.1,847,0,0,0,0,16.1448154756577
ND_2017,North Dakota,ND,2017,0.011214113000000001,755176,0,4.3,46,0,0,0,0,13.534706113647427
NE_2017,Nebraska,NE,2017,0.017593803,1917575,0,5.6,144,0,0,0,0,14.466571924887582
NH_2017,New Hampshire,NH,2017,0.143912141,1349767,0,4.2,51,1,0,0,0,14.115442542926203
NJ_2017,New Jersey,NJ,2017,0.092853152,8888543,0,4.5,453,0,0,0,0,16.000273702044826
NM_2017,New Mexico,NM,2017,0.74613093,2093395,0,5.9,140,1,0,0,0,14.554297707941101
NV_2017,Nevada,NV,2017,0.054170406,2972405,0,5.8,208,0,0,0,0,14.904881947406412
NY_2017,New York,NY,2017,0.490862161,19590719,0,4.6,1047,0,0,0,0,16.79056649164639
OH_2017,Ohio,OH,2017,1.739497719,11664129,1,7.2,983,0,0,0,0,16.2720287928402
OK_2017,Oklahoma,OK,2017,0.245156763,3932640,0,7.7,387,0,1,0,0,15.184821514043751
OR_2017,Oregon,OR,2017,0.071973245,4146592,0,5.4,236,0,0,0,0,15.237797350014212
PA_2017,Pennsylvania,PA,2017,0.241014481,12790447,0,6.1,841,0,1,0,0,16.364209122123363
RI_2017,Rhode Island,RI,2017,0.025886642,1056486,0,6.2,66,0,0,0,0,13.870458864648983
SC_2017,South Carolina,SC,2017,0.035032012,5021219,0,6.5,371,0,0,0,0,15.429183290875057
SD_2017,South Dakota,SD,2017,0.028776239,873286,0,7.7,94,1,0,0,0,13.680018387127097
TN_2017,Tennessee,TN,2017,0.054311320999999996,6708794,0,7.4,597,0,0,0,0,15.718929761050513
TX_2017,Texas,TX,2017,56.73002443,28322717,1,5.9,2237,1,1,1,1,17.159174761453453
UT_2017,Utah,UT,2017,4.055908768,3103118,0,5.9,285,1,0,1,0,14.947917970422596
VA_2017,Virginia,VA,2017,6.386579131,8465207,1,5.9,592,0,2,1,0,15.951475026882992
VT_2017,Vermont,VT,2017,0.012142763999999999,624525,0,4.8,27,0,0,0,0,13.34474663977213
WA_2017,Washington,WA,2017,0.33372079600000004,7425432,0,3.9,341,0,0,0,0,15.820421422778724
WI_2017,Wisconsin,WI,2017,0.09754548800000001,5792051,0,6.4,414,1,0,0,0,15.571997018257543
WV_2017,West Virginia,WV,2017,0.400545828,1817048,0,7.0,131,1,0,0,0,14.412723764200543
WY_2017,Wyoming,WY,2017,0.010780808999999999,578934,0,4.6,32,0,0,0,0,13.268943760420514
